"","S.Vowels","S.Consonants","glotto","asjp.Vowels","asjp.Consonants","asjp.VProp","S.VProp","family","Latitude","Longitude","Latitude.grid","Longitude.grid","specH.mean","autotyp.area"
"suii1243",2114,3263,"suii1243",44.3333333333333,86,0.515503875968992,0.647870058228624,"Tai-Kadai",24.0488,106.563,59,151,0.0147958398690754,"Southeast Asia"
"suri1265",1145,2768,"suri1265",NA,NA,NA,0.413656069364162,"Austroasiatic",NA,NA,NA,NA,NA,"Southeast Asia"
"swah1253",3466,3692,"swah1253",67.1176470588235,80.6470588235294,0.832239241429614,0.938786565547129,"Atlantic-Congo",-8.25605,37.624,43,115,0.0126152811590909,"S Africa"
"sout2752",3600,5156,"sout2752",NA,NA,NA,0.698215671062839,"Nakh-Daghestanian",NA,NA,NA,NA,NA,"Greater Mesopotamia"
"taca1256",3474,2728,"taca1256",278,235,1.18297872340426,1.27346041055718,"Tacanan",-13.3925,-68.0406,40,59,0.011153885017094,"NE South America"
"khun1259",1615,3935,"khun1259",53,108,0.490740740740741,0.410419313850064,"Tai-Kadai",19.6062,99.3363,57,147,0.0147205296447164,"Southeast Asia"
"luuu1242",1923,3034,"luuu1242",57.6666666666667,104.666666666667,0.550955414012739,0.633816743572841,"Tai-Kadai",21.0321,101.282,58,148,0.0136582032284382,"Southeast Asia"
"taki1248",2122,2740,"taki1248",177,248,0.713709677419355,0.774452554744526,"Austronesian",-4.69057,145.975,45,172,0.0179719082012432,"N Coast New Guinea"
"tami1289",3328,3896,"tami1289",210,257,0.817120622568093,0.854209445585216,"Dravidian",10.520219,78.825989,52,136,0.0185667429292929,"Indic"
"tari1263",2721,4255,"tari1263",68,110.666666666667,0.614457831325301,0.639482961222092,"Afro-Asiatic",35.3281,-1.87354,65,94,0.00612638728399378,"N Africa"
"tehu1242",1296,2127,"tehu1242",84,123,0.682926829268293,0.609308885754584,"Chonan",-47.5796,-68.3235,22,59,0.00475338189413364,"SE South America"
"telu1262",12011,12077,"telu1262",179,241.5,0.74120082815735,0.994535066655626,"Dravidian",16.4529,78.7024,56,136,0.0124097338879176,"Indic"
"thai1261",3545,4305,"thai1261",62.4285714285714,137.142857142857,0.455208333333333,0.823461091753775,"Tai-Kadai",14.192,100.671,54,148,0.0180662993783994,"Southeast Asia"
"sout2745",1832,3021,"sout2745",NA,NA,NA,0.606421714664019,"Tai-Kadai",NA,NA,NA,NA,NA,"Southeast Asia"
"tibe1272",1749,3784,"tibe1272",60,115,0.521739130434783,0.462209302325581,"Sino-Tibetan",28.3681,90.1872,62,142,0.00759827272746698,"Inner Asia"
"tind1238",3841,3816,"tind1238",87,150,0.58,1.00655136268344,"Nakh-Daghestanian",42.3316,45.9227,69,119,0.00654397926787102,"Greater Mesopotamia"
"toba1269",3756,4220,"toba1269",214,299,0.71571906354515,0.890047393364929,"Guaicuruan",-24.4025,-60.4473,34,63,0.0114692239963092,"SE South America"
"tokh1242",841,1409,"tokh1242",49,98,0.5,0.596877217885025,"Indo-European",NA,NA,NA,NA,NA,"Inner Asia"
"tokh1243",1631,2198,"tokh1243",80,119,0.672268907563025,0.74203821656051,"Indo-European",NA,NA,NA,NA,NA,"Indic"
"trin1274",2454,2348,"trin1274",104,114,0.912280701754386,1.04514480408859,"Arawakan",-15.3331,-65.4096,39,61,0.0145083481002331,"NE South America"
"trum1247",1746,1941,"trum1247",161,204,0.78921568627451,0.899536321483771,"F 13",-11.8119,-53.5717,41,67,0.0151192097610723,"NE South America"
"tsak1249",3045,3649,"tsak1249",80,169,0.473372781065089,0.834475198684571,"Nakh-Daghestanian",41.5916,46.8858,68,120,0.00703468112956488,"Greater Mesopotamia"
"dido1241",3228,3511,"dido1241",75.3333333333333,123.333333333333,0.610810810810811,0.919396183423526,"Nakh-Daghestanian",42.2646,45.8096,69,119,0.00654397926787102,"Greater Mesopotamia"
"nucl1649",1908,2562,"nucl1649",72,180,0.4,0.744730679156909,"Tsimshian",54.6214,-130.496,75,26,0.00664493083255633,"Alaska-Oregon"
"bats1242",2873,4216,"bats1242",61,131,0.465648854961832,0.681451612903226,"Nakh-Daghestanian",42.1806,45.344,69,119,0.00654397926787102,"Greater Mesopotamia"
"tuam1242",3686,3016,"tuam1242",110,120,0.916666666666667,1.22214854111406,"Austronesian",-21.709,-140.658,36,21,0.0160388727836053,"Oceania"
"tuyu1244",3083,2146,"tuyu1244",99.5,144.5,0.688581314878893,1.43662628145387,"Tucanoan",0.39441,-70.0435,47,58,0.0180299208216783,"NE South America"
"udii1243",2434,3400,"udii1243",64,106,0.60377358490566,0.715882352941177,"Nakh-Daghestanian",40.9,47.7236,68,120,0.00703468112956488,"Greater Mesopotamia"
"udmu1245",3159,3889,"udmu1245",68,155,0.438709677419355,0.812291077397789,"Uralic",56.1292,52.6355,76,123,0.00539649439718337,"Inner Asia"
"ghul1238",3530,4181,"ghul1238",69,70,0.985714285714286,0.844295623056685,"Nubian",11.6432,29.8122,53,111,0.0136004093560606,"African Savannah"
"viet1252",2075,2632,"viet1252",88.3333333333333,113,0.781710914454277,0.788373860182371,"Austroasiatic",18.3887,106.757,57,151,0.0167400563189588,"Southeast Asia"
"nucl1290",2801,3923,"nucl1290",83.3333333333333,131,0.636132315521628,0.713994392046903,"Austroasiatic",23.1024,99.108,59,147,0.0127122379887335,"Southeast Asia"
"waiw1244",3254,3038,"waiw1244",74,77.5,0.954838709677419,1.07109940750494,"Cariban",1.50881,-59.1417,48,64,0.0177676056954157,"NE South America"
"waor1240",4551,2586,"waor1240",101,135,0.748148148148148,1.75986078886311,"F 14",-1.12312,-76.683,46,55,0.0153195992871018,"NE South America"
"wapi1253",3987,3619,"wapi1253",87,114,0.763157894736842,1.10168554849406,"Arawakan",2.58744,-59.8021,48,64,0.0177676056954157,"NE South America"
"waur1244",3796,2857,"waur1244",99,93,1.06451612903226,1.32866643332167,"Arawakan",-13.296,-53.6971,40,67,0.0147937007618493,"NE South America"
"waya1270",2779,2447,"waya1270",158,219,0.721461187214612,1.13567633837352,"Tupian",1.73817,-52.6887,48,67,0.0166418536266511,"NE South America"
"hmon1333",2416,4046,"hmon1333",52.5,88,0.596590909090909,0.597132970835393,"Hmong-Mien",21.5461,103.164,58,149,0.0140674308886946,"Southeast Asia"
"wich1264",3155,3995,"wich1264",107,196.5,0.544529262086514,0.78973717146433,"Matacoan",-23.1633,-62.1757,35,62,0.0122840854040404,"SE South America"
"huuu1240",1559,2896,"huuu1240",NA,NA,NA,0.538328729281768,"Austroasiatic",22.0163,100.881,58,148,0.0136582032284382,"Southeast Asia"
"yama1264",1779,1631,"yama1264",90,110,0.818181818181818,1.0907418761496,"F 15",-55.2748,-68.2648,18,59,0.00486580157614608,"SE South America"
"yagu1244",4541,3903,"yagu1244",87.6666666666667,160.333333333333,0.546777546777547,1.16346400204971,"Peba-Yagua",-3.42913,-72.2186,45,57,0.0179904138986014,"NE South America"
"yami1256",3680,3034,"yami1256",82,77,1.06493506493506,1.21292023731048,"Panoan",-9.8846,-71.5964,42,57,0.0159249024825175,"NE South America"
"yano1262",3375,2338,"yano1262",116,149,0.778523489932886,1.44354148845167,"Yanomam",2.48999,-62.8522,48,62,0.0184229443609169,"NE South America"
"yaqu1251",4022,3393,"yaqu1251",97,100,0.97,1.18538166814029,"Uto-Aztecan",29.9446,-110.681,62,37,0.00839606072358197,"Mesoamerica"
"pume1238",3212,2427,"pume1238",80,113,0.707964601769911,1.32344458178822,"F 16",7.10677,-67.5996,51,60,0.0173408540306915,"NE South America"
"yavi1244",2283,1932,"yavi1244",109,98,1.11224489795918,1.18167701863354,"Arawakan",9.8194,-67.4283,52,60,0.0163834847863248,"NE South America"
"east2295",2405,5248,"east2295",56,111,0.504504504504504,0.458269817073171,"Indo-European",51.75,19.42,74,105,0.00646963003535354,"Europe"
"yuwa1244",2908,2077,"yuwa1244",91,131,0.694656488549618,1.4000962927299,"F 17",5.63879,-65.4267,50,61,0.0164256012898213,"NE South America"
"zuoj1238",2471,3494,"zuoj1238",49.7777777777778,96.3333333333333,0.516724336793541,0.707212364052662,"Tai-Kadai",21.8375,107.362,58,151,0.0159176864656177,"Southeast Asia"
"tzot1264",2471,3652,"tzot1264",NA,NA,NA,0.676615553121577,"F 18",NA,NA,NA,NA,NA,"Mesoamerica"
"zuni1245",2421,2597,"zuni1245",188,276,0.681159420289855,0.932229495571814,"F 19",35.0056,-108.782,65,38,0.00481491211926962,"Basin and Plains"
