"","ISO","Language","Dialect","Genetics","Speakers","Method","Quantity","Harmony.","Vowels","Structure","Peripheral","Nonperipheral","F1Centroid","F1CentroidPosition","F1UCA","F2Centroid","F2CentroidPosition","F2UCA","combined.label","vnum","vowel","ps","f1","f2","f3","f4","id","f1.bark","f2.bark"
"74.7","evn","Solon","Yaohe","Altaic>Tungusic>Northern>Evenki","1","Wordlist","Long","Yes",10,"8L2",8,2,"491.9","0.447865854","473.248","1520.2","0.466624922","1399.427","evn Yaohe Wordlist",7,"_","o",500,873,"2442","",74,4.91918699186992,7.73160607130251
"74.8","evn","Solon","Yaohe","Altaic>Tungusic>Northern>Evenki","1","Wordlist","Long","Yes",10,"8L2",8,2,"491.9","0.447865854","473.248","1520.2","0.466624922","1399.427","evn Yaohe Wordlist",8,"u","u",365,775,"2440","",74,3.67888172043011,7.06698354661792
"74.9","evn","Solon","Yaohe","Altaic>Tungusic>Northern>Evenki","1","Wordlist","Long","Yes",10,"8L2",8,2,"491.9","0.447865854","473.248","1520.2","0.466624922","1399.427","evn Yaohe Wordlist",9,"_","_",508,1138,"2478","",74,4.98842787682334,9.31821820529374
"74.10","evn","Solon","Yaohe","Altaic>Tungusic>Northern>Evenki","1","Wordlist","Long","Yes",10,"8L2",8,2,"491.9","0.447865854","473.248","1520.2","0.466624922","1399.427","evn Yaohe Wordlist",10,"_","_",502,945,"2385",NA,74,4.93653939886271,8.19132530120482
"75.1","fin","Finnish","Helsinki","Uralic>FinnoUgric>FinnoVolgaic>FinnoLappic>BalticFinnic","1","Wordlist","Long","No",8,"6L2",6,2,"433.8125","0.510754364","385.791","1430.75","0.562910644","1169.102","fin Helsinki Wordlist",1,"i","",229,2096,"","",75,2.27470077661032,13.3244773175542
"75.2","fin","Finnish","Helsinki","Uralic>FinnoUgric>FinnoVolgaic>FinnoLappic>BalticFinnic","1","Wordlist","Long","No",8,"6L2",6,2,"433.8125","0.510754364","385.791","1430.75","0.562910644","1169.102","fin Helsinki Wordlist",2,"e_","",443,1889,"","",75,4.41250104036621,12.6277266822551
"75.3","fin","Finnish","Helsinki","Uralic>FinnoUgric>FinnoVolgaic>FinnoLappic>BalticFinnic","1","Wordlist","Long","No",8,"6L2",6,2,"433.8125","0.510754364","385.791","1430.75","0.562910644","1169.102","fin Helsinki Wordlist",3,"æ","",614,1568,"","",75,5.86523698523699,11.3855555555556
"75.4","fin","Finnish","Helsinki","Uralic>FinnoUgric>FinnoVolgaic>FinnoLappic>BalticFinnic","1","Wordlist","Long","No",8,"6L2",6,2,"433.8125","0.510754364","385.791","1430.75","0.562910644","1169.102","fin Helsinki Wordlist",4,"_","",619,1131,"","",75,5.9048158200853,9.27980588806211
"75.5","fin","Finnish","Helsinki","Uralic>FinnoUgric>FinnoVolgaic>FinnoLappic>BalticFinnic","1","Wordlist","Long","No",8,"6L2",6,2,"433.8125","0.510754364","385.791","1430.75","0.562910644","1169.102","fin Helsinki Wordlist",5,"o_","",478,831,"","",75,4.72643150123052,7.45248298101039
"75.6","fin","Finnish","Helsinki","Uralic>FinnoUgric>FinnoVolgaic>FinnoLappic>BalticFinnic","1","Wordlist","Long","No",8,"6L2",6,2,"433.8125","0.510754364","385.791","1430.75","0.562910644","1169.102","fin Helsinki Wordlist",6,"u","",300,574,"","",75,3.02884955752212,5.54298342541436
"75.7","fin","Finnish","Helsinki","Uralic>FinnoUgric>FinnoVolgaic>FinnoLappic>BalticFinnic","1","Wordlist","Long","No",8,"6L2",6,2,"433.8125","0.510754364","385.791","1430.75","0.562910644","1169.102","fin Helsinki Wordlist",7,"y","",251,1701,"","",75,2.51355947535052,11.9266539196941
"75.8","fin","Finnish","Helsinki","Uralic>FinnoUgric>FinnoVolgaic>FinnoLappic>BalticFinnic","1","Wordlist","Long","No",8,"6L2",6,2,"433.8125","0.510754364","385.791","1430.75","0.562910644","1169.102","fin Helsinki Wordlist",8,"ø_","",436,1588,"","",75,4.3486143572621,11.4695152198422
"76.1","fin","Finnish","Helsinki","Uralic>FinnoUgric>FinnoVolgaic>FinnoLappic>BalticFinnic","1","Wordlist","Short","No",8,"6R2a",6,2,"433.8125","0.510754364","385.791","1430.75","0.562910644","1169.102","fin Helsinki Wordlist",1,"i","",287,1974,"","",76,2.89433021806854,12.9227046263345
"76.2","fin","Finnish","Helsinki","Uralic>FinnoUgric>FinnoVolgaic>FinnoLappic>BalticFinnic","1","Wordlist","Short","No",8,"6R2a",6,2,"433.8125","0.510754364","385.791","1430.75","0.562910644","1169.102","fin Helsinki Wordlist",2,"__","",465,1878,"","",76,4.61088659793814,12.5885982282439
"76.3","fin","Finnish","Helsinki","Uralic>FinnoUgric>FinnoVolgaic>FinnoLappic>BalticFinnic","1","Wordlist","Short","No",8,"6R2a",6,2,"433.8125","0.510754364","385.791","1430.75","0.562910644","1169.102","fin Helsinki Wordlist",3,"æ","",630,1568,"","",76,5.99135135135135,11.3855555555556
"76.4","fin","Finnish","Helsinki","Uralic>FinnoUgric>FinnoVolgaic>FinnoLappic>BalticFinnic","1","Wordlist","Short","No",8,"6R2a",6,2,"433.8125","0.510754364","385.791","1430.75","0.562910644","1169.102","fin Helsinki Wordlist",4,"_","",621,1194,"","",76,5.92060441689268,9.61937856689918
"76.5","fin","Finnish","Helsinki","Uralic>FinnoUgric>FinnoVolgaic>FinnoLappic>BalticFinnic","1","Wordlist","Short","No",8,"6R2a",6,2,"433.8125","0.510754364","385.791","1430.75","0.562910644","1169.102","fin Helsinki Wordlist",5,"__","",499,879,"","",76,4.91050020333469,7.77080662205002
"76.6","fin","Finnish","Helsinki","Uralic>FinnoUgric>FinnoVolgaic>FinnoLappic>BalticFinnic","1","Wordlist","Short","No",8,"6R2a",6,2,"433.8125","0.510754364","385.791","1430.75","0.562910644","1169.102","fin Helsinki Wordlist",6,"u","",327,843,"","",76,3.30334936598164,7.53308597930788
"76.7","fin","Finnish","Helsinki","Uralic>FinnoUgric>FinnoVolgaic>FinnoLappic>BalticFinnic","1","Wordlist","Short","No",8,"6R2a",6,2,"433.8125","0.510754364","385.791","1430.75","0.562910644","1169.102","fin Helsinki Wordlist",7,"y","",287,1665,"","",76,2.89433021806854,11.7841103448276
"76.8","fin","Finnish","Helsinki","Uralic>FinnoUgric>FinnoVolgaic>FinnoLappic>BalticFinnic","1","Wordlist","Short","No",8,"6R2a",6,2,"433.8125","0.510754364","385.791","1430.75","0.562910644","1169.102","fin Helsinki Wordlist",8,"œ_","",455,1513,"","",76,4.52115942028985,11.1496803915923
"77.1","fla","Montana Salish","","Salishan>SouthernInteriorSalish","2","Wordlist","Uniform","No",5,"5S0",5,0,"487.4","0.414371257","479.594","1438.8","0.416479401","1411.588","fla  Wordlist",1,"i","",349,2062,"2546","",77,3.52226938068428,13.2149577324714
"77.2","fla","Montana Salish","","Salishan>SouthernInteriorSalish","2","Wordlist","Uniform","No",5,"5S0",5,0,"487.4","0.414371257","479.594","1438.8","0.416479401","1411.588","fla  Wordlist",2,"e","",510,1738,"2396","",77,5.00566801619433,12.0702650081125
"77.3","fla","Montana Salish","","Salishan>SouthernInteriorSalish","2","Wordlist","Uniform","No",5,"5S0",5,0,"487.4","0.414371257","479.594","1438.8","0.416479401","1411.588","fla  Wordlist",3,"a","",683,1389,"2434","",77,6.39819901626939,10.5894655120932
"77.4","fla","Montana Salish","","Salishan>SouthernInteriorSalish","2","Wordlist","Uniform","No",5,"5S0",5,0,"487.4","0.414371257","479.594","1438.8","0.416479401","1411.588","fla  Wordlist",4,"o","",540,994,"2222","",77,5.26096,8.49137440758294
"77.5","fla","Montana Salish","","Salishan>SouthernInteriorSalish","2","Wordlist","Uniform","No",5,"5S0",5,0,"487.4","0.414371257","479.594","1438.8","0.416479401","1411.588","fla  Wordlist",5,"u","",355,1011,"2265","",77,3.58125269978402,8.59316055200269
"78.1","fmp","Fe'fe'","","NigerCongo>AtlanticCongo>BenueCongo>Bantoid>Southern>Grassfields>Eastern>Bamileke","1","Wordlist","Uniform","No",8,"6R2a",6,2,"462.5","0.296153846","524.15","1486.25","0.510030864","1293.42","fmp  Wordlist",1,"i","i",270,2220,"","",78,2.71605381165919,13.7088038277512
"78.2","fmp","Fe'fe'","","NigerCongo>AtlanticCongo>BenueCongo>Bantoid>Southern>Grassfields>Eastern>Bamileke","1","Wordlist","Uniform","No",8,"6R2a",6,2,"462.5","0.296153846","524.15","1486.25","0.510030864","1293.42","fmp  Wordlist",2,"e","e_",320,2280,"","",78,3.23280701754386,13.8866981132075
"78.3","fmp","Fe'fe'","","NigerCongo>AtlanticCongo>BenueCongo>Bantoid>Southern>Grassfields>Eastern>Bamileke","1","Wordlist","Uniform","No",8,"6R2a",6,2,"462.5","0.296153846","524.15","1486.25","0.510030864","1293.42","fmp  Wordlist",3,"a","a",920,1630,"","",78,8.03430555555556,11.6427855153203
"78.4","fmp","Fe'fe'","","NigerCongo>AtlanticCongo>BenueCongo>Bantoid>Southern>Grassfields>Eastern>Bamileke","1","Wordlist","Uniform","No",8,"6R2a",6,2,"462.5","0.296153846","524.15","1486.25","0.510030864","1293.42","fmp  Wordlist",4,"_","_",640,1070,"","",78,6.06938461538461,8.93755775577558
"78.5","fmp","Fe'fe'","","NigerCongo>AtlanticCongo>BenueCongo>Bantoid>Southern>Grassfields>Eastern>Bamileke","1","Wordlist","Uniform","No",8,"6R2a",6,2,"462.5","0.296153846","524.15","1486.25","0.510030864","1293.42","fmp  Wordlist",5,"_","_",600,1000,"","",78,5.75359375,8.52743243243243
"78.6","fmp","Fe'fe'","","NigerCongo>AtlanticCongo>BenueCongo>Bantoid>Southern>Grassfields>Eastern>Bamileke","1","Wordlist","Uniform","No",8,"6R2a",6,2,"462.5","0.296153846","524.15","1486.25","0.510030864","1293.42","fmp  Wordlist",6,"u","u",290,660,"","",78,2.92551111111111,6.2236641221374
"78.7","fmp","Fe'fe'","","NigerCongo>AtlanticCongo>BenueCongo>Bantoid>Southern>Grassfields>Eastern>Bamileke","1","Wordlist","Uniform","No",8,"6R2a",6,2,"462.5","0.296153846","524.15","1486.25","0.510030864","1293.42","fmp  Wordlist",7,"_","_",310,1530,"","",78,3.13127753303965,11.2233810888252
"78.8","fmp","Fe'fe'","","NigerCongo>AtlanticCongo>BenueCongo>Bantoid>Southern>Grassfields>Eastern>Bamileke","1","Wordlist","Uniform","No",8,"6R2a",6,2,"462.5","0.296153846","524.15","1486.25","0.510030864","1293.42","fmp  Wordlist",8,"_","_",350,1500,"","",78,3.53212121212121,11.0928323699422
"79.1","fod","Foodo","","NigerCongo>AtlanticCongo>VoltaCongo>Kwa>Nyo>PotouTano>Tano>Guang>North","2","Carrier sentence","Uniform","Yes",9,"9S0",9,0,"514.8888889","0.35600907","533.749","1457","0.515015015","1291.812","fod  Carrier sentence",1,"i","",323,2103,"XXX","",79,3.26309242225142,13.3467979325621
"79.2","fod","Foodo","","NigerCongo>AtlanticCongo>VoltaCongo>Kwa>Nyo>PotouTano>Tano>Guang>North","2","Carrier sentence","Uniform","Yes",9,"9S0",9,0,"514.8888889","0.35600907","533.749","1457","0.515015015","1291.812","fod  Carrier sentence",2,"e","",437,2064,"XXX","",79,4.35776387150605,13.2214512922465
"79.3","fod","Foodo","","NigerCongo>AtlanticCongo>VoltaCongo>Kwa>Nyo>PotouTano>Tano>Guang>North","2","Carrier sentence","Uniform","Yes",9,"9S0",9,0,"514.8888889","0.35600907","533.749","1457","0.515015015","1291.812","fod  Carrier sentence",3,"_","",442,2038,"XXX","",79,4.40339716902581,13.1365282641321
"79.4","fod","Foodo","","NigerCongo>AtlanticCongo>VoltaCongo>Kwa>Nyo>PotouTano>Tano>Guang>North","2","Carrier sentence","Uniform","Yes",9,"9S0",9,0,"514.8888889","0.35600907","533.749","1457","0.515015015","1291.812","fod  Carrier sentence",4,"_","",639,1838,"XXX","",79,6.0616083108888,12.444402317009
"79.5","fod","Foodo","","NigerCongo>AtlanticCongo>VoltaCongo>Kwa>Nyo>PotouTano>Tano>Guang>North","2","Carrier sentence","Uniform","Yes",9,"9S0",9,0,"514.8888889","0.35600907","533.749","1457","0.515015015","1291.812","fod  Carrier sentence",5,"a","",862,1441,"XXX","",79,7.65930545712261,10.8293678329903
"79.6","fod","Foodo","","NigerCongo>AtlanticCongo>VoltaCongo>Kwa>Nyo>PotouTano>Tano>Guang>North","2","Carrier sentence","Uniform","Yes",9,"9S0",9,0,"514.8888889","0.35600907","533.749","1457","0.515015015","1291.812","fod  Carrier sentence",6,"_","",638,1010,"XXX","",79,6.0538260200154,8.58720538720539
"79.7","fod","Foodo","","NigerCongo>AtlanticCongo>VoltaCongo>Kwa>Nyo>PotouTano>Tano>Guang>North","2","Carrier sentence","Uniform","Yes",9,"9S0",9,0,"514.8888889","0.35600907","533.749","1457","0.515015015","1291.812","fod  Carrier sentence",7,"_","",469,853,"XXX","",79,4.64657060518732,7.59972982580874
"79.8","fod","Foodo","","NigerCongo>AtlanticCongo>VoltaCongo>Kwa>Nyo>PotouTano>Tano>Guang>North","2","Carrier sentence","Uniform","Yes",9,"9S0",9,0,"514.8888889","0.35600907","533.749","1457","0.515015015","1291.812","fod  Carrier sentence",8,"o","",459,995,"XXX","",79,4.55713931376602,8.49739424703892
"79.9","fod","Foodo","","NigerCongo>AtlanticCongo>VoltaCongo>Kwa>Nyo>PotouTano>Tano>Guang>North","2","Carrier sentence","Uniform","Yes",9,"9S0",9,0,"514.8888889","0.35600907","533.749","1457","0.515015015","1291.812","fod  Carrier sentence",9,"u","",365,771,"XXX","",79,3.67888172043011,7.03884291468327
"80.1","fra","French","Quebec","IndoEuropean>Italic>Romance>ItaloWestern>Western>GalloIberian>GalloRomance>GalloRhaetian>Oil","6","Wordlist","Uniform","No",11,"8R3a",8,3,"402.7272727","0.418430884","392.715","1456.818182","0.543372658","1257.21","fra Quebec Wordlist",1,"i","",250,2055,"","",80,2.50280542986425,13.1921793275218
"80.2","fra","French","Quebec","IndoEuropean>Italic>Romance>ItaloWestern>Western>GalloIberian>GalloRomance>GalloRhaetian>Oil","6","Wordlist","Uniform","No",11,"8R3a",8,3,"402.7272727","0.418430884","392.715","1456.818182","0.543372658","1257.21","fra Quebec Wordlist",2,"e","",345,2020,"","",80,3.48277657266811,13.0770854271357
"80.3","fra","French","Quebec","IndoEuropean>Italic>Romance>ItaloWestern>Western>GalloIberian>GalloRomance>GalloRhaetian>Oil","6","Wordlist","Uniform","No",11,"8R3a",8,3,"402.7272727","0.418430884","392.715","1456.818182","0.543372658","1257.21","fra Quebec Wordlist",3,"_","",460,1770,"","",80,4.56611570247934,12.1921715817694
"80.4","fra","French","Quebec","IndoEuropean>Italic>Romance>ItaloWestern>Western>GalloIberian>GalloRomance>GalloRhaetian>Oil","6","Wordlist","Uniform","No",11,"8R3a",8,3,"402.7272727","0.418430884","392.715","1456.818182","0.543372658","1257.21","fra Quebec Wordlist",4,"a","",615,1465,"","",80,5.87316504854369,10.9376350364964
"80.5","fra","French","Quebec","IndoEuropean>Italic>Romance>ItaloWestern>Western>GalloIberian>GalloRomance>GalloRhaetian>Oil","6","Wordlist","Uniform","No",11,"8R3a",8,3,"402.7272727","0.418430884","392.715","1456.818182","0.543372658","1257.21","fra Quebec Wordlist",5,"_","",605,1165,"","",80,5.79360623781676,9.464768
"80.6","fra","French","Quebec","IndoEuropean>Italic>Romance>ItaloWestern>Western>GalloIberian>GalloRomance>GalloRhaetian>Oil","6","Wordlist","Uniform","No",11,"8R3a",8,3,"402.7272727","0.418430884","392.715","1456.818182","0.543372658","1257.21","fra Quebec Wordlist",6,"_","",485,1240,"","",80,4.7881390593047,9.858875
"80.7","fra","French","Quebec","IndoEuropean>Italic>Romance>ItaloWestern>Western>GalloIberian>GalloRomance>GalloRhaetian>Oil","6","Wordlist","Uniform","No",11,"8R3a",8,3,"402.7272727","0.418430884","392.715","1456.818182","0.543372658","1257.21","fra Quebec Wordlist",7,"o","",355,755,"","",80,3.58125269978402,6.92545119705341
"80.8","fra","French","Quebec","IndoEuropean>Italic>Romance>ItaloWestern>Western>GalloIberian>GalloRomance>GalloRhaetian>Oil","6","Wordlist","Uniform","No",11,"8R3a",8,3,"402.7272727","0.418430884","392.715","1456.818182","0.543372658","1257.21","fra Quebec Wordlist",8,"u","",260,745,"","",80,2.60990990990991,6.85390018484288
"80.9","fra","French","Quebec","IndoEuropean>Italic>Romance>ItaloWestern>Western>GalloIberian>GalloRomance>GalloRhaetian>Oil","6","Wordlist","Uniform","No",11,"8R3a",8,3,"402.7272727","0.418430884","392.715","1456.818182","0.543372658","1257.21","fra Quebec Wordlist",9,"y","",255,1825,"","",80,2.55647855530474,12.3968824306473
"80.10","fra","French","Quebec","IndoEuropean>Italic>Romance>ItaloWestern>Western>GalloIberian>GalloRomance>GalloRhaetian>Oil","6","Wordlist","Uniform","No",11,"8R3a",8,3,"402.7272727","0.418430884","392.715","1456.818182","0.543372658","1257.21","fra Quebec Wordlist",10,"ø","",350,1460,"",NA,80,3.53212121212121,10.9152046783626
"80.11","fra","French","Quebec","IndoEuropean>Italic>Romance>ItaloWestern>Western>GalloIberian>GalloRomance>GalloRhaetian>Oil","6","Wordlist","Uniform","No",11,"8R3a",8,3,"402.7272727","0.418430884","392.715","1456.818182","0.543372658","1257.21","fra Quebec Wordlist",11,"œ","",450,1525,NA,NA,80,4.47601659751037,11.2017790530846
"82.1","frr","North Frisian","Fering","IndoEuropean>Germanic>WestGermanic>AngloFrisian","10","Wordlist","Long","No",8,"6L2",6,2,"444.1333333","0.350712251","462.988","1431.133333","0.480008925","1298.154","frr Fering Wordlist",1,"i","",280,2208,"2817","",82,2.82125,13.6726103646833
"82.2","frr","North Frisian","Fering","IndoEuropean>Germanic>WestGermanic>AngloFrisian","10","Wordlist","Long","No",8,"6L2",6,2,"444.1333333","0.350712251","462.988","1431.133333","0.480008925","1298.154","frr Fering Wordlist",2,"e","",354,2181,"2520","",82,3.5714433880726,13.5904081139821
"82.3","frr","North Frisian","Fering","IndoEuropean>Germanic>WestGermanic>AngloFrisian","10","Wordlist","Long","No",8,"6L2",6,2,"444.1333333","0.350712251","462.988","1431.133333","0.480008925","1298.154","frr Fering Wordlist",3,"_","",644,1579,"2529","",82,6.10043010752688,11.4318508053122
"82.4","frr","North Frisian","Fering","IndoEuropean>Germanic>WestGermanic>AngloFrisian","10","Wordlist","Long","No",8,"6L2",6,2,"444.1333333","0.350712251","462.988","1431.133333","0.480008925","1298.154","frr Fering Wordlist",4,"_","",687,1050,"2522","",82,6.42824329429543,8.82232558139535
"82.5","frr","North Frisian","Fering","IndoEuropean>Germanic>WestGermanic>AngloFrisian","10","Wordlist","Long","No",8,"6L2",6,2,"444.1333333","0.350712251","462.988","1431.133333","0.480008925","1298.154","frr Fering Wordlist",5,"o","",374,714,"2555","",82,3.76603256212511,6.62869109947644
"82.6","frr","North Frisian","Fering","IndoEuropean>Germanic>WestGermanic>AngloFrisian","10","Wordlist","Long","No",8,"6L2",6,2,"444.1333333","0.350712251","462.988","1431.133333","0.480008925","1298.154","frr Fering Wordlist",6,"u","",307,761,"2367","",82,3.1006440229378,6.96812936420434
"82.7","frr","North Frisian","Fering","IndoEuropean>Germanic>WestGermanic>AngloFrisian","10","Wordlist","Long","No",8,"6L2",6,2,"444.1333333","0.350712251","462.988","1431.133333","0.480008925","1298.154","frr Fering Wordlist",7,"y","",281,1675,"2112","",82,2.83171798304328,11.8239889958735
"82.8","frr","North Frisian","Fering","IndoEuropean>Germanic>WestGermanic>AngloFrisian","10","Wordlist","Long","No",8,"6L2",6,2,"444.1333333","0.350712251","462.988","1431.133333","0.480008925","1298.154","frr Fering Wordlist",8,"ø","",370,1435,"2177","",82,3.72738197424893,10.8020618556701
"81.1","frr","North Frisian","Fering","IndoEuropean>Germanic>WestGermanic>AngloFrisian","10","Wordlist","Short","No",7,"5S2a",5,2,"444.1333333","0.350712251","462.988","1431.133333","0.480008925","1298.154","frr Fering Wordlist",1,"_","",370,1960,"2426","",81,3.72738197424893,12.875
"81.2","frr","North Frisian","Fering","IndoEuropean>Germanic>WestGermanic>AngloFrisian","10","Wordlist","Short","No",7,"5S2a",5,2,"444.1333333","0.350712251","462.988","1431.133333","0.480008925","1298.154","frr Fering Wordlist",2,"_","",515,1755,"2401","",81,5.04864646464646,12.1352893674293
"81.3","frr","North Frisian","Fering","IndoEuropean>Germanic>WestGermanic>AngloFrisian","10","Wordlist","Short","No",7,"5S2a",5,2,"444.1333333","0.350712251","462.988","1431.133333","0.480008925","1298.154","frr Fering Wordlist",3,"a","",748,1270,"2380","",81,6.87542097488922,10.0113931888545
"81.4","frr","North Frisian","Fering","IndoEuropean>Germanic>WestGermanic>AngloFrisian","10","Wordlist","Short","No",7,"5S2a",5,2,"444.1333333","0.350712251","462.988","1431.133333","0.480008925","1298.154","frr Fering Wordlist",4,"_","",553,989,"2336","",81,5.36969359331476,8.46121397083757
"81.5","frr","North Frisian","Fering","IndoEuropean>Germanic>WestGermanic>AngloFrisian","10","Wordlist","Short","No",7,"5S2a",5,2,"444.1333333","0.350712251","462.988","1431.133333","0.480008925","1298.154","frr Fering Wordlist",5,"_","",391,904,"2259","",81,3.92883028498511,7.93237430167598
"81.6","frr","North Frisian","Fering","IndoEuropean>Germanic>WestGermanic>AngloFrisian","10","Wordlist","Short","No",7,"5S2a",5,2,"444.1333333","0.350712251","462.988","1431.133333","0.480008925","1298.154","frr Fering Wordlist",6,"_","",340,1556,"2150","",81,3.43321739130435,11.3347212741752
"81.7","frr","North Frisian","Fering","IndoEuropean>Germanic>WestGermanic>AngloFrisian","10","Wordlist","Short","No",7,"5S2a",5,2,"444.1333333","0.350712251","462.988","1431.133333","0.480008925","1298.154","frr Fering Wordlist",7,"œ","",448,1430,"2247","",81,4.45790697674419,10.7792330383481
"83.1","fry","Frisian","West","IndoEuropean>Germanic>WestGermanic>AngloFrisian","5","Wordlist","Long","No",9,"7S2",7,2,"429.7777778","0.315005727","466.635","1518.111111","0.498229847","1343.112","fry West Wordlist",1,"i","",277,2337,"","",83,2.78978989718373,14.0510961135676
"83.2","fry","Frisian","West","IndoEuropean>Germanic>WestGermanic>AngloFrisian","5","Wordlist","Long","No",9,"7S2",7,2,"429.7777778","0.315005727","466.635","1518.111111","0.498229847","1343.112","fry West Wordlist",2,"e","",347,2060,"","",83,3.50254009536194,13.2084577114428
"83.3","fry","Frisian","West","IndoEuropean>Germanic>WestGermanic>AngloFrisian","5","Wordlist","Long","No",9,"7S2",7,2,"429.7777778","0.315005727","466.635","1518.111111","0.498229847","1343.112","fry West Wordlist",3,"_","",515,1870,"","",83,5.04864646464646,12.56
"83.4","fry","Frisian","West","IndoEuropean>Germanic>WestGermanic>AngloFrisian","5","Wordlist","Long","No",9,"7S2",7,2,"429.7777778","0.315005727","466.635","1518.111111","0.498229847","1343.112","fry West Wordlist",4,"a","",762,1475,"","",83,6.97522409992652,10.9822998544396
"83.5","fry","Frisian","West","IndoEuropean>Germanic>WestGermanic>AngloFrisian","5","Wordlist","Long","No",9,"7S2",7,2,"429.7777778","0.315005727","466.635","1518.111111","0.498229847","1343.112","fry West Wordlist",5,"_","",557,877,"","",83,5.40292411601112,7.7577581952767
"83.6","fry","Frisian","West","IndoEuropean>Germanic>WestGermanic>AngloFrisian","5","Wordlist","Long","No",9,"7S2",7,2,"429.7777778","0.315005727","466.635","1518.111111","0.498229847","1343.112","fry West Wordlist",6,"o","",420,940,"","",83,4.20117647058823,8.16013793103448
"83.7","fry","Frisian","West","IndoEuropean>Germanic>WestGermanic>AngloFrisian","5","Wordlist","Long","No",9,"7S2",7,2,"429.7777778","0.315005727","466.635","1518.111111","0.498229847","1343.112","fry West Wordlist",7,"u","",320,705,"","",83,3.23280701754386,6.56232645403377
"83.8","fry","Frisian","West","IndoEuropean>Germanic>WestGermanic>AngloFrisian","5","Wordlist","Long","No",9,"7S2",7,2,"429.7777778","0.315005727","466.635","1518.111111","0.498229847","1343.112","fry West Wordlist",8,"y","",280,1797,"","",83,2.82125,12.2934149587437
"83.9","fry","Frisian","West","IndoEuropean>Germanic>WestGermanic>AngloFrisian","5","Wordlist","Long","No",9,"7S2",7,2,"429.7777778","0.315005727","466.635","1518.111111","0.498229847","1343.112","fry West Wordlist",9,"ø","",390,1602,"","",83,3.91931914893617,11.5277259966311
"84.1","ggu","Gban","N'da","NigerCongo>Mande>Eastern>Southeastern>NwaBen>BenGban","1","Meaningful sentence","Uniform","No",7,"7S0",7,0,"395.7142857","0.404761905","390.76","1458.571429","0.490147783","1343.56","ggu N'da Meaningful sentence",1,"i","",260,2050,"2970","3410",84,2.60990990990991,13.1758603491272
"84.2","ggu","Gban","N'da","NigerCongo>Mande>Eastern>Southeastern>NwaBen>BenGban","1","Meaningful sentence","Uniform","No",7,"7S0",7,0,"395.7142857","0.404761905","390.76","1458.571429","0.490147783","1343.56","ggu N'da Meaningful sentence",2,"e","",340,1960,"2630","3400",84,3.43321739130435,12.875
"84.3","ggu","Gban","N'da","NigerCongo>Mande>Eastern>Southeastern>NwaBen>BenGban","1","Meaningful sentence","Uniform","No",7,"7S0",7,0,"395.7142857","0.404761905","390.76","1458.571429","0.490147783","1343.56","ggu N'da Meaningful sentence",3,"_","",450,1870,"2490","3410",84,4.47601659751037,12.56
"84.4","ggu","Gban","N'da","NigerCongo>Mande>Eastern>Southeastern>NwaBen>BenGban","1","Meaningful sentence","Uniform","No",7,"7S0",7,0,"395.7142857","0.404761905","390.76","1458.571429","0.490147783","1343.56","ggu N'da Meaningful sentence",4,"a","",610,1380,"2220","",84,5.83346303501945,10.5471856287425
"84.5","ggu","Gban","N'da","NigerCongo>Mande>Eastern>Southeastern>NwaBen>BenGban","1","Meaningful sentence","Uniform","No",7,"7S0",7,0,"395.7142857","0.404761905","390.76","1458.571429","0.490147783","1343.56","ggu N'da Meaningful sentence",5,"_","",480,1100,"2230","",84,4.74409836065574,9.10758169934641
"84.6","ggu","Gban","N'da","NigerCongo>Mande>Eastern>Southeastern>NwaBen>BenGban","1","Meaningful sentence","Uniform","No",7,"7S0",7,0,"395.7142857","0.404761905","390.76","1458.571429","0.490147783","1343.56","ggu N'da Meaningful sentence",6,"o","",380,960,"2120","3240",84,3.82376068376068,8.28424657534247
"84.7","ggu","Gban","N'da","NigerCongo>Mande>Eastern>Southeastern>NwaBen>BenGban","1","Meaningful sentence","Uniform","No",7,"7S0",7,0,"395.7142857","0.404761905","390.76","1458.571429","0.490147783","1343.56","ggu N'da Meaningful sentence",7,"u","",250,890,"2000","3230",84,2.50280542986425,7.84224561403509
"85.1","gla","Scottish Gaelic","Bernera","IndoEuropean>Celtic>Insular>Goidelic","7","Wordlist","Long","No",9,"7S2",7,2,"425","0.328125","445.12","1488.888889","0.560351719","1253.49","gla Bernera Wordlist",1,"i","",320,2100,"","",85,3.23280701754386,13.3372413793103
"85.2","gla","Scottish Gaelic","Bernera","IndoEuropean>Celtic>Insular>Goidelic","7","Wordlist","Long","No",9,"7S2",7,2,"425","0.328125","445.12","1488.888889","0.560351719","1253.49","gla Bernera Wordlist",2,"e","",385,2010,"","",85,3.87164179104478,13.0438287153652
"85.3","gla","Scottish Gaelic","Bernera","IndoEuropean>Celtic>Insular>Goidelic","7","Wordlist","Long","No",9,"7S2",7,2,"425","0.328125","445.12","1488.888889","0.560351719","1253.49","gla Bernera Wordlist",3,"_","",440,1910,"","",85,4.38516666666667,12.7018087855297
"85.4","gla","Scottish Gaelic","Bernera","IndoEuropean>Celtic>Insular>Goidelic","7","Wordlist","Long","No",9,"7S2",7,2,"425","0.328125","445.12","1488.888889","0.560351719","1253.49","gla Bernera Wordlist",4,"a","",640,1320,"","",85,6.06938461538461,10.2593902439024
