"","LanguageName","LanguageCode","Source","InventoryID","Trump","Tones","Vowels","inventorySize","Sonorants","Consonants","Glottocode","LanguageFamilyRoot","Latitude","Longitude","Latitude.grid","Longitude.grid","specH.mean","Family","gFam","autotyp.area","TrumpScore"
"306","Chechen","che","ph","856",TRUE,0,12,44,18,32,"chec1245","Nakh-Daghestanian",43.5,45.5,69,119,0.00654397926787102,"Nakh-Daghestanian","Nakh-Daghestanian","Greater Mesopotamia",21
"307","Chepang","cdm","ph","857",TRUE,0,6,24,13,18,"chep1245","Sino-Tibetan",27.7206,84.9017,61,140,0.0132493651773504,"Sino-Tibetan","Sino-Tibetan","Indic",21
"308","Cheremis","mhr","ph","858",TRUE,0,8,27,16,19,"east2328","Uralic",55.8307,48.405,76,120,0.00547449185635198,"Uralic","Uralic","Inner Asia",21
"309","CHEROKEE","chr","upsid","280",TRUE,0,6,17,11,11,"cher1273","Iroquoian",35.4664,-83.163,65,51,0.0109261364413364,"Iroquoian","Iroquoian","E North America",28
"310","Chickasaw","cic","ph","1230",TRUE,0,9,25,14,16,"chic1270","Muskogean",33.9452,-97.1301,65,44,0.0090554159496892,"Muskogean","Muskogean","E North America",21
"311","Chilliwak Halkomelem","hur","ph","1115",TRUE,3,12,47,18,35,"halk1245","Salishan",48.0751,-122.029,72,31,0.00651985847358197,"Salishan","Salishan","Alaska-Oregon",21
"312","Chimborazo Quichua","qug","ph","1157",TRUE,0,5,36,12,31,"chim1302","Quechuan",-1.36727,-78.8521,46,54,0.0133793786596737,"Quechuan","Quechuan","Andean",21
"313","Chimila","cbg","saphon","1894",TRUE,0,20,36,27,16,"chim1309","Chibchan",10.1902,-74.2559,52,56,0.0180451803477078,"Chibchan","Chibchan","NE South America",27
"314","Chinanteco","cle","ph","859",TRUE,0,7,35,16,28,"leal1235","Otomanguean",17.3162,-95.9265,56,45,0.0160060400019425,"Otomanguean","Otomanguean","Mesoamerica",21
"315","Chindali","ndh","gm","1471",TRUE,4,10,31,18,21,"ndal1241","Atlantic-Congo",-9.88948,33.6118,42,113,0.0112583989599845,"Atlantic-Congo","Atlantic-Congo","S Africa",23
"316","Chinese","yue","uz","2166",TRUE,5,10,48,17,38,"yuec1235","Sino-Tibetan",23,113,59,154,0.0149754553350816,"Sino-Tibetan","Sino-Tibetan","Southeast Asia",22
"317","Chipaya","cap","saphon","2126",TRUE,0,10,51,19,41,"chip1262","Uru-Chipaya",-18.73951,-67.89633,37,59,0.00798657336868687,"Uru-Chipaya","Uru-Chipaya","Andean",27
"318","Chipewyan","chp","spa","63",TRUE,4,18,61,24,43,"chip1261","Athapaskan-Eyak-Tlingit",58.3637,-110.832,77,37,0.00491832556045066,"Athapaskan-Eyak-Tlingit","Athapaskan-Eyak-Tlingit","E North America",24
"319","Chiricahua Apache","apm","ph","951",TRUE,4,16,51,20,35,"mesc1238","Athapaskan-Eyak-Tlingit",33.1291,-105.566,64,40,0.00650503259965035,"Athapaskan-Eyak-Tlingit","Athapaskan-Eyak-Tlingit","Basin and Plains",21
"320","Chiriguano","gui","saphon","2077",TRUE,0,12,24,16,12,"east2555","Tupian",-21.0909,-61.7179,36,63,0.0134878018376068,"Tupian","Tupian","SE South America",27
"321","Choctaw","cho","ph","1071",TRUE,0,6,21,11,15,"choc1276","Muskogean",33.8993,-94.819,65,45,0.0100432900965423,"Muskogean","Muskogean","E North America",21
"322","Chokri","nri","ra","1718",TRUE,0,5,39,16,34,"chok1243","Sino-Tibetan",25.5636,94.2887,60,145,0.0127874062121212,"Sino-Tibetan","Sino-Tibetan","Southeast Asia",29
"323","Cholón","cht","saphon","1921",TRUE,0,5,20,13,15,"chol1284","Hibito-Cholon",-9.23129,-75.9621,42,55,0.0101520904520202,"Hibito-Cholon","Hibito-Cholon","Andean",27
"324","Chon","ona","saphon","1907",TRUE,0,8,29,14,21,"onaa1245","Chonan",-54,-68.5,19,59,0.00474205262567988,"Chonan","Chonan","SE South America",27
"325","Chong","cog","ph","910",TRUE,0,19,40,27,21,"chon1284","Austroasiatic",12.5218,102.514,53,149,0.0189092131274281,"Austroasiatic","Austroasiatic","Southeast Asia",21
"326","Chontal","chf","spa","85",TRUE,0,12,37,19,25,"taba1266","Mayan",18.1713,-92.7367,56,46,0.0159898933411033,"Mayan","Mayan","Mesoamerica",24
"327","Chonyi","coh","gm","1586",TRUE,2,5,47,14,42,"chon1287","Atlantic-Congo",-3.79746,39.7553,45,116,0.0159794159071484,"Atlantic-Congo","Atlantic-Congo","S Africa",23
"328","Chorote","crq","saphon","1981",TRUE,0,5,21,10,16,"iyow1239","Matacoan",-22.2067,-62.6508,36,62,0.0123294733624709,"Matacoan","Matacoan","SE South America",27
"329","Chrau","crw","ph","861",TRUE,0,13,33,21,20,"chra1242","Austroasiatic",10.8021,107.293,53,151,0.0181261285586636,"Austroasiatic","Austroasiatic","Southeast Asia",21
"330","CHUAVE","cjv","upsid","284",TRUE,0,5,17,10,12,"chua1250","Nuclear Trans New Guinea",-6.17824,145.139,44,171,0.0169529563714064,"Nuclear Trans New Guinea","Nuclear Trans New Guinea","Interior New Guinea",28
"331","Chukchi","ckt","spa","195",TRUE,0,7,22,12,15,"chuk1273","Chukotko-Kamchatkan",68.6436,170.045,82,184,0.00305657907797203,"Chukotko-Kamchatkan","Chukotko-Kamchatkan","N Coast Asia",24
"332","Chulupí","cag","saphon","1983",TRUE,0,6,28,11,22,"niva1238","Matacoan",-22.8557,-61.7606,35,63,0.0128804159700855,"Matacoan","Matacoan","SE South America",27
"333","chumburung","ncu","aa","686",TRUE,0,9,30,17,21,"chum1261","Atlantic-Congo",8.15211,-0.2755,51,95,0.0175536528574204,"Atlantic-Congo","Atlantic-Congo","African Savannah",25
"334","Chuvash","chv","spa","189",TRUE,0,9,39,23,30,"chuv1255","Turkic",55.487,47.163,76,120,0.00547449185635198,"Turkic","Turkic","Inner Asia",24
"335","cilungu","mgr","gm","1289",TRUE,7,10,36,16,26,"mamb1296","Atlantic-Congo",-8.86817,31.2269,42,111,0.0111559680986791,"Atlantic-Congo","Atlantic-Congo","S Africa",23
"336","Cocos Malay","coa","uz","2222",TRUE,0,8,27,15,19,"coco1260","Austronesian",-12.193342,96.833679,41,146,0.0181406731293706,"Austronesian","Austronesian","Southeast Asia",22
"337","Coeur d''Alene'","crd","ph","863",TRUE,0,8,48,18,40,"coeu1236","Salishan",47.2958,-116.715,71,34,0.00516837514374514,"Salishan","Salishan","Basin and Plains",21
"338","Colorado; Tsafiki","cof","ph","1222",TRUE,0,9,25,15,16,"colo1256","Barbacoan",-0.21181,-79.2347,47,53,0.0158830371212121,"Barbacoan","Barbacoan","Andean",21
"339","Comanche","com","ph","864",TRUE,0,6,18,10,12,"coma1245","Uto-Aztecan",34.5701,-98.424,65,43,0.00783537847513597,"Uto-Aztecan","Uto-Aztecan","Basin and Plains",21
"340","Comorian, Ndzwani","wni","gm","1547",TRUE,2,5,39,12,34,"ndzw1235","Atlantic-Congo",-12.2123,44.3709,41,118,0.0174380789413364,"Atlantic-Congo","Atlantic-Congo","S Africa",23
"341","Comox","coo","ph","1107",TRUE,0,5,42,15,37,"como1259","Salishan",49.7233,-124.967,73,29,0.00695018241686092,"Salishan","Salishan","Alaska-Oregon",21
"342","Croatian","hrv","ph","1139",TRUE,0,11,36,19,25,"croa1245","Indo-European",45.2006,16.826,70,104,0.00900058436363636,"Indo-European","Indo-European","Europe",21
"343","Crow","cro","ph","1238",TRUE,3,10,23,12,13,"crow1244","Siouan",45.368,-107.874,70,38,0.0041447604531857,"Siouan","Siouan","Basin and Plains",21
"344","Cuiba","cui","saphon","1910",TRUE,0,8,25,13,17,"cuib1242","Guahiboan",6.19829,-69.8197,50,58,0.0170847437975913,"Guahiboan","Guahiboan","NE South America",27
"345","Cupeno","cup","ph","865",TRUE,0,11,38,20,27,"cupe1243","Uto-Aztecan",33.3148,-116.515,64,34,0.00832576455963481,"Uto-Aztecan","Uto-Aztecan","California",21
"346","Curripaco","kpc","saphon","1817",TRUE,0,4,29,12,25,"curr1243","Arawakan",0.69618,-67.5028,47,60,0.0184831711013986,"Arawakan","Arawakan","NE South America",27
"347","Cuvok","cuv","ph","866",TRUE,0,2,29,8,27,"cuvo1236","Afro-Asiatic",10.6448,14.0006,52,102,0.0133330583438228,"Afro-Asiatic","Afro-Asiatic","African Savannah",21
"348","Cuzco-Collao Quechua","quz","saphon","2024",TRUE,0,5,31,13,26,"cusc1236","Quechuan",-14.0853,-71.7663,40,57,0.00832723922397047,"Quechuan","Quechuan","Andean",27
"349","Cwaya","shw","gm","1499",TRUE,3,10,38,19,28,"shwa1239","Heibanic",11.2708,30.3533,53,111,0.0136004093560606,"Heibanic","Heibanic","African Savannah",23
"350","Czech","ces","ph","1140",TRUE,0,13,38,20,25,"czec1258","Indo-European",49.873398,15.10437,73,103,0.00654143249941725,"Indo-European","Indo-European","Europe",21
"351","Daba","dbq","gm","1576",TRUE,4,6,46,13,40,"nucl1683","Afro-Asiatic",10.3521,13.6318,52,102,0.0133330583438228,"Afro-Asiatic","Afro-Asiatic","African Savannah",23
"352","DADIBI","mps","upsid","468",TRUE,0,10,23,15,13,"dadi1250","Teberan",-6.65765,144.511,44,171,0.0169529563714064,"Teberan","Teberan","Interior New Guinea",28
"353","Dafla","njz","spa","21",TRUE,2,9,27,15,18,"nyis1236","Sino-Tibetan",26,93.5,60,144,0.0137841268422688,"Sino-Tibetan","Sino-Tibetan","Indic",24
"354","dagaare","dga","aa","688",TRUE,3,27,54,35,27,"sout2789","Atlantic-Congo",10.4226,-2.52265,52,94,0.0158166494858197,"Atlantic-Congo","Atlantic-Congo","African Savannah",25
"355","dagara","dgi","aa","689",TRUE,3,9,41,17,32,"nort2780","Atlantic-Congo",11.0441,-3.0124,53,93,0.0137315616326729,"Atlantic-Congo","Atlantic-Congo","African Savannah",25
"356","Dagbani","dag","spa","139",TRUE,2,11,37,19,26,"dagb1246","Atlantic-Congo",9.64745,-0.43227,52,95,0.0159259896855089,"Atlantic-Congo","Atlantic-Congo","African Savannah",24
"357","DAHALO","dal","upsid","301",TRUE,0,5,59,12,54,"daha1245","Afro-Asiatic",-2.1843,40.37,46,116,0.0144298070920746,"Afro-Asiatic","Afro-Asiatic","S Africa",28
"358","DAJU","daj","upsid","300",TRUE,0,6,30,15,24,"darf1239","Dajuic",12.2598,25.3127,53,108,0.0136087944514375,"Dajuic","Dajuic","African Savannah",28
"359","Dakota","lkt","spa","75",TRUE,0,9,36,13,27,"lako1247","Siouan",46.3699,-103.95,71,40,0.00536450762606838,"Siouan","Siouan","Basin and Plains",24
"360","Damana","mbp","saphon","1898",TRUE,0,7,27,14,20,"mala1522","Chibchan",10.9286,-73.4056,53,56,0.0188008877466977,"Chibchan","Chibchan","NE South America",27
"361","dan ","dnj","aa","691",TRUE,5,23,48,27,25,"dann1241","Mande",7.22812,-8.24535,51,91,0.0175634382187257,"Mande","Mande","African Savannah",25
"362","DANGALEAT","daa","upsid","297",TRUE,0,7,28,15,21,"dang1274","Afro-Asiatic",12.1517,18.385,53,105,0.0130434648855866,"Afro-Asiatic","Afro-Asiatic","African Savannah",28
"363","dangme ","ada","aa","692",TRUE,4,12,39,20,27,"adan1247","Atlantic-Congo",5.9437,0.13243,50,95,0.0184863100097125,"Atlantic-Congo","Atlantic-Congo","African Savannah",25
"364","DANI","dni","upsid","308",TRUE,0,12,24,17,12,"lowe1415","Nuclear Trans New Guinea",-4.25684,138.992,45,168,0.0177979303535354,"Nuclear Trans New Guinea","Nuclear Trans New Guinea","Interior New Guinea",28
"365","Danish","dan","uz","2167",TRUE,0,16,69,24,53,"dani1285","Indo-European",54.8655,9.36284,75,100,0.0063776429949495,"Indo-European","Indo-European","Europe",22
"366","Darkhat","drh","ea","2256",TRUE,0,11,39,17,28,"dark1243","Mongolic",50.623,99.4449,73,147,0.00427614453457653,"Mongolic","Mongolic","Inner Asia",26
"367","Darma","drd","ea","2383",TRUE,0,8,34,15,26,"darm1243","Sino-Tibetan",29.8629,80.5439,62,137,0.0112683775868298,"Sino-Tibetan","Sino-Tibetan","Indic",26
"368","Daur","dta","ea","2312",TRUE,0,10,57,22,47,"daur1238","Mongolic",48,124,72,160,0.00562721871355866,"Mongolic","Mongolic","Inner Asia",26
"369","Dâw","kwa","saphon","1990",TRUE,0,15,39,27,24,"daww1239","Nadahup",-0.1177,-67.2934,47,60,0.0184831711013986,"Nadahup","Nadahup","NE South America",27
"370","daza","dzg","aa","693",TRUE,0,11,32,19,21,"daza1242","Saharan",15.7358,15.8517,55,103,0.00785745939685315,"Saharan","Saharan","African Savannah",25
"371","Defaka","afn","gm","1385",TRUE,5,19,42,24,23,"defa1248","Ijoid",4.58451,7.50186,49,99,0.0185134842851593,"Ijoid","Ijoid","African Savannah",23
"372","Degema","deg","gm","1452",TRUE,2,10,36,19,26,"dege1246","Atlantic-Congo",4.73373,6.80991,49,99,0.0185134842851593,"Atlantic-Congo","Atlantic-Congo","African Savannah",23
"373","Delaware","unm","spa","73",TRUE,0,17,39,26,22,"unam1242","Algic",35.0264,-98.3201,65,43,0.00783537847513597,"Algic","Algic","Basin and Plains",24
"374","Dení","dny","saphon","1845",TRUE,0,4,22,8,18,"deni1241","Arawan",-6.74962,-67.5029,44,60,0.0188449867909868,"Arawan","Arawan","NE South America",27
"375","Denjongka","sip","ea","2415",TRUE,0,26,65,37,39,"sikk1242","Sino-Tibetan",27.85795,88.59153,61,142,0.0137997874213287,"Sino-Tibetan","Sino-Tibetan","Indic",26
"376","Denya","anv","ph","867",TRUE,0,8,30,15,22,"deny1238","Atlantic-Congo",5.97237,9.39989,50,100,0.0174789068939394,"Atlantic-Congo","Atlantic-Congo","African Savannah",21
"377","DERA","kbv","upsid","395",TRUE,0,6,17,11,11,"dera1245","Senagi",-3.52309,140.947,45,169,0.0175709102758353,"Senagi","Senagi","N Coast New Guinea",28
"378","Desano","des","saphon","2052",TRUE,0,6,18,10,12,"desa1247","Tucanoan",0.58157,-69.4955,47,59,0.0184068211247086,"Tucanoan","Tucanoan","NE South America",27
"379","Dghwede","dgh","gm","1299",TRUE,2,3,38,9,35,"dghw1239","Afro-Asiatic",11.05751,13.77847,53,102,0.0118947903034188,"Afro-Asiatic","Afro-Asiatic","African Savannah",23
"380","Dhangar","kxl","ph","868",TRUE,0,5,39,16,34,"nepa1253","Dravidian",26.72057,86.00255,61,140,0.0132493651773504,"Dravidian","Dravidian","Indic",21
"381","Dhimal","dhi","ea","2463",TRUE,0,22,53,33,31,"dhim1246","Sino-Tibetan",26.6283,88.3798,61,141,0.0136147084446387,"Sino-Tibetan","Sino-Tibetan","Indic",26
"382","Dhivehi","div","ea","2315",TRUE,0,10,39,17,29,"dhiv1236","Indo-European",1.928498,73.54433,48,134,0.01795527247669,"Indo-European","Indo-European","Indic",26
"383","dida","dic","aa","695",TRUE,3,27,57,35,30,"lako1244","Atlantic-Congo",5.86012,-5.40633,50,92,0.0181313548445998,"Atlantic-Congo","Atlantic-Congo","African Savannah",25
"384","Didinga","did","gm","1431",TRUE,4,18,58,32,40,"didi1258","Surmic",4.21489,33.6869,49,113,0.0144831693420746,"Surmic","Surmic","African Savannah",23
"385","Digo","dig","gm","1587",TRUE,2,5,48,14,43,"digo1243","Atlantic-Congo",-4.62101,39.1752,45,116,0.0159794159071484,"Atlantic-Congo","Atlantic-Congo","S Africa",23
"386","Digueno","dih","spa","90",TRUE,0,9,34,19,25,"kumi1248","Cochimi-Yuman",32.331,-116.604,64,34,0.00832576455963481,"Cochimi-Yuman","Cochimi-Yuman","California",24
"387","Dime","dim","gm","1440",TRUE,2,18,73,30,55,"dime1235","South Omotic",6.20951,36.3329,50,114,0.0141407516427739,"South Omotic","South Omotic","Greater Abyssinia",23
"388","Dimili","diq","ph","1109",TRUE,0,14,44,22,30,"diml1238","Indo-European",38.6147,39.6388,67,116,0.00696122578341103,"Indo-European","Indo-European","Greater Mesopotamia",21
"389","DINKA","dip","upsid","307",TRUE,0,13,32,22,19,"nort2815","Nilotic",9.27995,31.8392,52,112,0.0151930361932789,"Nilotic","Nilotic","African Savannah",28
"390","Dinka, South Central","dib","gm","1309",TRUE,3,37,60,46,23,"sout2833","Nilotic",6.7307,30.3021,50,111,0.015742162248446,"Nilotic","Nilotic","African Savannah",23
"391","dioula","dyu","aa","696",TRUE,2,14,39,22,25,"dyul1238","Mande",10.4536,-4.72007,52,93,0.0156327858488733,"Mande","Mande","African Savannah",25
"392","diriku","diu","gm","1271",TRUE,0,5,28,13,23,"diri1252","Atlantic-Congo",-18.1681,20.6678,38,106,0.00923366790617716,"Atlantic-Congo","Atlantic-Congo","S Africa",23
"393","ditammari","tbz","aa","697",TRUE,3,12,32,19,20,"dita1238","Atlantic-Congo",10.1614,1.18045,52,96,0.0158915132358197,"Atlantic-Congo","Atlantic-Congo","African Savannah",25
"394","DIYARI","dif","upsid","305",TRUE,0,3,25,18,22,"dier1241","Pama-Nyungan",-28.1667,138,32,167,0.0049303103014763,"Pama-Nyungan","Pama-Nyungan","S Australia",28
"395","DIZI","mdx","upsid","457",TRUE,0,6,30,12,24,"dizi1235","Dizoid",6.1405,35.5763,50,114,0.0141407516427739,"Dizoid","Dizoid","Greater Abyssinia",28
"396","doayo","dow","aa","698",TRUE,4,22,48,29,26,"doya1240","Atlantic-Congo",8.68604,13.0768,51,102,0.0144215465252525,"Atlantic-Congo","Atlantic-Congo","African Savannah",25
"397","Dobu","dob","ph","981",TRUE,0,5,24,11,19,"dobu1241","Austronesian",-9.63239,150.825,42,174,0.0183432960975136,"Austronesian","Austronesian","S New Guinea",21
"398","dogon ","dts","aa","699",TRUE,0,22,42,30,20,"toro1252","Dogon",14.40749,-3.10006,54,93,0.0117534919376457,"Dogon","Dogon","African Savannah",25
"399","Dolgan","dlg","ea","2255",TRUE,0,18,42,26,24,"dolg1241","Turkic",71.1083,94.2936,84,145,0.00267485238368298,"Turkic","Turkic","Inner Asia",26
"400","Domari","rmt","ea","2530",TRUE,0,12,45,19,33,"doma1258","Indo-European",32,35,64,113,0.0114954363515929,"Indo-European","Indo-European","Greater Mesopotamia",26
"401","Dompo","doy","gm","1495",TRUE,2,7,31,14,24,"domp1238","Atlantic-Congo",8.182,-2.295,51,94,0.0174215015860528,"Atlantic-Congo","Atlantic-Congo","African Savannah",23
"402","Dongxiang","sce","ea","2477",TRUE,0,6,34,13,28,"dong1285","Mongolic",35.5808,103.558,65,149,0.00590224528399378,"Mongolic","Mongolic","Southeast Asia",26
"403","duala","dua","aa","700",TRUE,5,7,33,14,26,"dual1243","Atlantic-Congo",4.10208,9.61877,49,100,0.0180563223115773,"Atlantic-Congo","Atlantic-Congo","African Savannah",25
"404","Dupaningan Agta; Eastern Cagayan Agta; Dupaninan Agta","duo","ph","1085",TRUE,0,5,20,11,15,"dupa1235","Austronesian",17.3748,122.188,56,159,0.0182355565112665,"Austronesian","Austronesian","Oceania",21
"405","Duruma","dug","gm","1588",TRUE,2,5,47,14,42,"duru1249","Atlantic-Congo",-4.09629,39.322,45,116,0.0159794159071484,"Atlantic-Congo","Atlantic-Congo","S Africa",23
"406","Dutch","nld","ph","1050",TRUE,0,15,39,24,24,"dutc1256","Indo-European",52,5,74,98,0.00702505466802642,"Indo-European","Indo-European","Europe",21
"407","DYIRBAL","dbl","upsid","303",TRUE,0,3,16,12,13,"dyir1250","Pama-Nyungan",-17.4516,145.544,38,171,0.0123180873482906,"Pama-Nyungan","Pama-Nyungan","N Australia",28
"408","Dzongkha","dzo","ea","2394",TRUE,0,23,58,32,35,"dzon1239","Sino-Tibetan",27.410786,89.581604,61,142,0.0137997874213287,"Sino-Tibetan","Sino-Tibetan","Indic",26
"409","Dzuungoo","dnn","gm","1468",TRUE,3,26,55,34,29,"dzuu1241","Mande",11.3796,-4.92036,53,92,0.0135367023084693,"Mande","Mande","African Savannah",23
"410","East Makian","mky","ph","1037",TRUE,0,5,24,12,19,"east2440","Austronesian",0.07337,127.423,47,162,0.0187525773698524,"Austronesian","Austronesian","Oceania",21
"411","Eastern Hill Balochi","bgp","ea","2498",TRUE,0,13,54,21,41,"east2304","Indo-European",28,62,61,128,0.00888268237742813,"Indo-European","Indo-European","Indic",26
"412","Eastern Khanty","kca","ph","1137",TRUE,0,13,31,22,18,"khan1273","Uralic",62.4308,66.1218,79,130,0.00484959278644134,"Uralic","Uralic","Inner Asia",21
"413","Eastern Yugur","yuy","ea","2242",TRUE,0,14,42,22,28,"east2337","Mongolic",37.9882,101.762,67,148,0.00359406019131702,"Mongolic","Mongolic","Inner Asia",26
"414","ebira","igb","aa","702",TRUE,3,9,31,16,22,"ebir1243","Atlantic-Congo",8.15516,7.06183,51,99,0.0174586344959207,"Atlantic-Congo","Atlantic-Congo","African Savannah",25
"415","Eciruuri","kya","gm","1646",TRUE,2,10,29,16,19,"kway1241","Atlantic-Congo",-1.80737,33.71,46,113,0.0127024302736985,"Atlantic-Congo","Atlantic-Congo","S Africa",23
"416","ẹdo ","bin","aa","704",TRUE,2,21,48,30,27,"bini1246","Atlantic-Congo",6.40701,5.70426,50,98,0.0187216013752914,"Atlantic-Congo","Atlantic-Congo","African Savannah",25
"417","EFIK","efi","upsid","316",TRUE,0,7,20,13,13,"efik1245","Atlantic-Congo",4.89379,8.38121,50,99,0.0184405448659674,"Atlantic-Congo","Atlantic-Congo","African Savannah",28
"418","Ega","ega","ph","1233",TRUE,3,9,39,16,30,"egaa1242","Atlantic-Congo",5.56081,-5.41732,50,92,0.0181313548445998,"Atlantic-Congo","Atlantic-Congo","African Savannah",21
"419","Eggon","ego","ph","873",TRUE,5,7,42,16,35,"eggo1239","Atlantic-Congo",8.71442,8.45686,52,99,0.0155803042078477,"Atlantic-Congo","Atlantic-Congo","African Savannah",21
"420","Egyptian Arabic","arz","spa","132",TRUE,0,9,67,21,58,"egyp1253","Afro-Asiatic",31,31,63,111,0.00823232352602953,"Afro-Asiatic","Afro-Asiatic","N Africa",24
"421","Ejagham","etu","gm","1654",TRUE,3,7,29,14,22,"ejag1239","Atlantic-Congo",5.54442,8.90959,50,100,0.0174789068939394,"Atlantic-Congo","Atlantic-Congo","African Savannah",23
"422","EKARI","ekg","upsid","317",TRUE,0,5,15,9,10,"ekar1243","Nuclear Trans New Guinea",-3.88974,136.018,45,166,0.0187903332362082,"Nuclear Trans New Guinea","Nuclear Trans New Guinea","Interior New Guinea",28
"423","Ekpeye","ekp","ph","874",TRUE,4,10,37,16,27,"ekpe1253","Atlantic-Congo",5.06715,6.53362,50,98,0.0187216013752914,"Atlantic-Congo","Atlantic-Congo","African Savannah",21
"424","Eloyi","afo","gm","1300",TRUE,3,7,51,17,44,"eloy1241","Atlantic-Congo",8.24696,7.97061,51,99,0.0174586344959207,"Atlantic-Congo","Atlantic-Congo","African Savannah",23
"425","emai","ema","aa","707",TRUE,0,21,48,29,27,"emai1241","Atlantic-Congo",7.09089,5.84494,51,98,0.017759444771756,"Atlantic-Congo","Atlantic-Congo","African Savannah",25
"426","Emberá-Baudó","bdc","saphon","1901",TRUE,0,12,33,19,21,"embe1259","Chocoan",5.2824,-76.32548,50,55,0.0169449435547786,"Chocoan","Chocoan","Andean",27
"427","Emberá-Catío","cto","saphon","1902",TRUE,0,12,31,17,19,"embe1260","Chocoan",7.52721,-76.7476,51,55,0.0181675231196581,"Chocoan","Chocoan","Andean",27
"428","Emberá-Chamí","cmi","saphon","1903",TRUE,0,12,28,18,16,"embe1262","Chocoan",4.8791,-76.0749,50,55,0.0169449435547786,"Chocoan","Chocoan","Andean",27
"429","Emerillon","eme","saphon","2079",TRUE,0,14,30,17,16,"emer1243","Tupian",3.23694,-52.3699,49,68,0.0177712917909868,"Tupian","Tupian","NE South America",27
"430","Enawené-Nawé","unk","saphon","1818",TRUE,0,12,25,19,13,"enaw1238","Arawakan",-12.4302,-58.9802,41,64,0.0162209647977855,"Arawakan","Arawakan","NE South America",27
"431","engenni","enn","aa","708",TRUE,3,10,33,16,23,"enge1239","Atlantic-Congo",5.11931,6.37339,50,98,0.0187216013752914,"Atlantic-Congo","Atlantic-Congo","African Savannah",25
"432","English (American)","eng","uz","2175",TRUE,0,12,39,19,27,"stan1293","Indo-European",53,-1,74,94,0.00714047989918415,"Indo-European","Indo-European","Europe",22
"433","Ennemor","ior","gm","1465",TRUE,0,7,47,17,40,"inor1238","Afro-Asiatic",7.94883,37.7968,51,115,0.0125021268723776,"Afro-Asiatic","Afro-Asiatic","Greater Abyssinia",23
"434","Epena","sja","saphon","1905",TRUE,0,21,38,25,17,"epen1239","Chocoan",4.25877,-77.3566,49,54,0.0176211136790987,"Chocoan","Chocoan","Andean",27
"435","Erzya","myv","ea","2616",TRUE,0,6,35,15,29,"erzy1239","Uralic",52.8548,45.3901,74,119,0.00518172344726107,"Uralic","Uralic","Inner Asia",26
"436","Ese Ejja","ese","saphon","2046",TRUE,0,4,21,9,17,"esee1248","Pano-Tacanan",-11.7268,-67.515,41,60,0.0164328499067599,"Pano-Tacanan","Pano-Tacanan","NE South America",27
"437","Esimbi","ags","ph","876",TRUE,0,8,37,16,29,"esim1238","Atlantic-Congo",6.50094,9.86936,50,100,0.0174789068939394,"Atlantic-Congo","Atlantic-Congo","African Savannah",21
"438","Eton","eto","gm","1563",TRUE,2,15,38,23,23,"eton1253","Atlantic-Congo",4.21045,11.3935,49,101,0.0171731030205905,"Atlantic-Congo","Atlantic-Congo","African Savannah",23
"439","Etsako","ets","ph","1110",TRUE,3,7,36,15,29,"yekh1238","Atlantic-Congo",7.10204,6.44919,51,98,0.017759444771756,"Atlantic-Congo","Atlantic-Congo","African Savannah",21
"440","Even","eve","spa","192",TRUE,0,18,36,25,18,"even1260","Tungusic",70.6687,130.914,84,164,0.00261296785590521,"Tungusic","Tungusic","Inner Asia",24
"441","Evenki","evn","uz","2238",TRUE,0,11,29,18,18,"even1259","Tungusic",53.85,108.626,75,152,0.00493750158238151,"Tungusic","Tungusic","Inner Asia",22
"442","Ewe","ewe","spa","142",TRUE,3,14,45,24,31,"ewee1241","Atlantic-Congo",6.46061,0.814975,50,95,0.0184863100097125,"Atlantic-Congo","Atlantic-Congo","African Savannah",24
"443","ewondo","ewo","aa","709",TRUE,3,7,25,13,18,"ewon1239","Atlantic-Congo",4.21141,11.93646,49,101,0.0171731030205905,"Atlantic-Congo","Atlantic-Congo","African Savannah",25
"444","EYAK","eya","upsid","325",TRUE,0,13,45,18,32,"eyak1241","Athapaskan-Eyak-Tlingit",60.4232,-144.762,78,19,0.00618673563519814,"Athapaskan-Eyak-Tlingit","Athapaskan-Eyak-Tlingit","Alaska-Oregon",28
"445","Faiwol","fai","ph","974",TRUE,0,8,20,13,12,"faiw1243","Nuclear Trans New Guinea",-5.4967,141.656,44,169,0.0187430518337218,"Nuclear Trans New Guinea","Nuclear Trans New Guinea","Interior New Guinea",21
"446","Fan","fan","ph","877",TRUE,0,16,41,23,25,"fang1246","Atlantic-Congo",1.723965,11.61454,48,101,0.0171758783935509,"Atlantic-Congo","Atlantic-Congo","African Savannah",21
"447","Fang","fak","gm","1621",TRUE,3,10,36,18,26,"fang1248","Atlantic-Congo",6.54384,10.319,50,100,0.0174789068939394,"Atlantic-Congo","Atlantic-Congo","African Savannah",23
"448","Faroese","fao","ea","2378",TRUE,0,17,36,22,19,"faro1244","Indo-European",62.0732,-6.88497,79,91,0.00635858781060606,"Indo-European","Indo-European","Europe",26
"449","fe'efe'fe","fmp","aa","710",TRUE,5,16,44,22,28,"fefe1239","Atlantic-Congo",5.18158,10.1442,50,100,0.0174789068939394,"Atlantic-Congo","Atlantic-Congo","African Savannah",25
