"","glotto","Language","area","numVowels","specH.mean","autotyp.area","family"
"96","kuyy1240","Kuy",477300,22,0.0172633834848485,"Southeast Asia","Austroasiatic"
"97","kera1255","Kera",219425,6,0.0132269323290598,"African Savannah","Afro-Asiatic"
"98","halh1238","Khalkha",284368.5,8,0.00379307391530692,"Inner Asia","Mongolic"
"99","cent1989","Khmer",550989,17,0.0187591800621601,"Southeast Asia","Austroasiatic"
"100","kiri1256","Kirikiri",463150,7,0.0182960252874903,"Interior New Guinea","Lakes Plain"
"101","konn1242","Konni",177400,9,0.0158166494858197,"African Savannah","Atlantic-Congo"
"102","kaci1244","Baale",221588,9,0.015100198284188,"Greater Abyssinia","Surmic"
"103","kore1280","Korean",297862,7,0.00938177335936286,"N Coast Asia","Koreanic"
"104","ikpo1238","Ikposo",417742,10,0.0175536528574204,"African Savannah","Atlantic-Congo"
"105","komi1268","Komi",354379,7,0.00477240514592075,"Inner Asia","Uralic"
"106","kari1311","Karitiana",209118,5,0.0162192133275058,"NE South America","Tupian"
"107","sara1321","Nar",338349,6,0.01474748095338,"African Savannah","Central Sudanic"
"108","nort2684","Northern Khmer",617784.5,28,0.0178368073076923,"Southeast Asia","Austroasiatic"
"109","kuru1309","Kuruaya",190174,6,0.0179785249222999,"NE South America","Tupian"
"110","lang1324","Lango",274112.5,10,0.0148528708255633,"S Africa","Nilotic"
"111","latv1249","Latvian",412793,12,0.00616480385120435,"Inner Asia","Indo-European"
"112","lith1251","Lithuanian",90200,5,0.00647340547358197,"Inner Asia","Indo-European"
"113","livv1244","Livonian",333093,8,0.00595184657362082,"Inner Asia","Uralic"
"114","lele1276","Lele",308937.5,5,0.0132269323290598,"African Savannah","Afro-Asiatic"
"115","luok1236","Dholuo",317962,8,0.0139981181993007,"S Africa","Nilotic"
"116","nucl1460","Madurese",467780,8,0.0182971446639472,"Southeast Asia","Austronesian"
"117","mait1250","Maithili",677729,8,0.0132493651773504,"Indic","Indo-European"
"118","jala1237","Jalapa Mazatec",220912.5,5,0.0161145737160062,"Mesoamerica","Otomanguean"
"119","masa1300","Maa",283680.5,9,0.0117665009529915,"S Africa","Nilotic"
"120","mola1238","Molalla",263559,7,0.00589315915947941,"Alaska-Oregon","mola1238"
"121","mawa1270","Mawa",281500,6,0.0130434648855866,"African Savannah","Afro-Asiatic"
"122","mpie1238","Mpiemo",289940,7,0.0171683411111111,"African Savannah","Atlantic-Congo"
"123","mang1394","Mangbetu",348133.5,9,0.0177220621911422,"S Africa","Central Sudanic"
"124","mayo1261","Mayogo",455711.5,10,0.0167664198659674,"African Savannah","Atlantic-Congo"
"125","mbos1242","Mbosi Olee",237344,7,0.0162600917657343,"African Savannah","Atlantic-Congo"
"126","isth1238","Isthmus Mixe",187209,6,0.0160060400019425,"Mesoamerica","Mixe-Zoque"
"127","malt1254","Maltese",395699,4,0.0116241162299922,"Europe","Afro-Asiatic"
"128","mono1270","Mono",251358,8,0.0175021017735043,"African Savannah","Atlantic-Congo"
"129","moss1236","Moore",325142,8,0.0158166494858197,"African Savannah","Atlantic-Congo"
"130","muku1242","Moukoulu",218787.5,6,0.0130434648855866,"African Savannah","Afro-Asiatic"
"131","maja1242","Majang",451087.5,10,0.0155598693094406,"Greater Abyssinia","Surmic"
"132","maor1246","Maori",248218.5,10,0.00828186218201243,"Oceania","Austronesian"
"133","muse1242","Musey",224356,5,0.0132269323290598,"African Savannah","Afro-Asiatic"
"134","cree1270","Creek",162450,6,0.0140121579966977,"E North America","Muskogean"
"135","peri1253","Inner Mongolian",491825,11,0.00407699019360917,"Inner Asia","Mongolic"
"136","sarr1246","Sar",345003,6,0.0151739893036131,"African Savannah","Central Sudanic"
"137","tlah1239","Ayutla Mixe",238397.5,7,0.0160060400019425,"Mesoamerica","Mixe-Zoque"
"138","nucl1310","Burmese",416060,6,0.017191612972028,"Southeast Asia","Sino-Tibetan"
"139","mbay1241","Mbay",264113.5,6,0.014364369209596,"African Savannah","Central Sudanic"
"140","bamb1262","Bambassi",238537.5,5,0.0151010292216395,"Greater Abyssinia","Blue Nile Mao"
"141","mund1330","Munduruku",275724,5,0.0173340307750583,"NE South America","Tupian"
"142","sout2994","Nambikwara",374145,5,0.0149621472208625,"NE South America","Nambiquaran"
"143","minn1241","Min Taiwanese",496141.5,5,0.0149762615592463,"Southeast Asia","Sino-Tibetan"
"144","neap1235","Neapolitan",389243.5,7,0.0110875902902098,"Europe","Indo-European"
"145","nava1243","Navajo",412750,8,0.00500523415947941,"Basin and Plains","Athapaskan-Eyak-Tlingit"
"146","nawu1242","Nawuri",453825,9,0.0175536528574204,"African Savannah","Atlantic-Congo"
"147","nort2795","Ndebele",264670.5,5,0.00912564194405594,"S Africa","Atlantic-Congo"
"148","nort2627","Low German",426462,7,0.00703573235722611,"Europe","Indo-European"
"149","ndut1239","Ndut",381982,18,0.0155481507731158,"African Savannah","Atlantic-Congo"
"150","east1436","Nepali",443182,6,0.0136147084446387,"Indic","Indo-European"
"151","newa1246","Ngwe",633478,13,0.0132493651773504,"Indic","Sino-Tibetan"
"152","ngal1292","Dalabon",161061,6,0.0135422225157343,"N Australia","Gunwinyguan"
"153","nias1242","Nias",561965.5,6,0.0183779379623155,"Southeast Asia","Austronesian"
"154","anga1288","Angami",397414,6,0.0137841268422688,"Southeast Asia","Sino-Tibetan"
"155","aona1235","Ao",260301.5,5,0.0135883932876845,"Southeast Asia","Sino-Tibetan"
"156","dutc1256","Dutch",427608,12,0.00702505466802642,"Europe","Indo-European"
"157","huaa1248","!Xoo",377375,5,0.00558099057711733,"S Africa","Tuu"
"158","nand1264","Kinande",288507.5,10,0.0159441389471639,"S Africa","Atlantic-Congo"
"159","norw1258","Norwegian",347358.5,9,0.00618765739160839,"Europe","Indo-European"
"160","nung1282","Anong",170707.5,6,0.0115538669343434,"Southeast Asia","Sino-Tibetan"
"161","occi1239","Occitan",474485.5,7,0.00928084332517482,"Europe","Indo-European"
"162","khan1278","Khana",284043,7,0.0185134842851593,"African Savannah","Atlantic-Congo"
"163","panj1256","Punjabi",413598,9,0.0100549214823232,"Indic","Indo-European"
