"","X","LanguageName","LanguageCode","Source","InventoryID","Trump","Tones","Vowels","inventorySize","Sonorants","Consonants","Glottocode","LanguageFamilyRoot","Latitude","Longitude","Latitude.grid","Longitude.grid","specH.mean","Family","gFam","autotyp.area","TrumpScore","ANU.Tones","Tones.diff","specH.mean.center"
"85",85,"Azerbaijani","azj","spa",187,TRUE,0,9,34,13,25,"nort2697","Turkic",40.9777,46.4737,68,119,0.00644226019327894,"Turkic","Turkic","Greater Mesopotamia",24,0,0,-1.59135457221961
"87",87,"Babanki","bbk","ph",1179,TRUE,0,7,33,14,26,"baba1266","Atlantic-Congo",5.97863,10.2869,50,100,0.0174789068939394,"Atlantic-Congo","Atlantic-Congo","African Savannah",21,4,-4,0.843450909078256
"89",89,"babungo","bav","aa",661,TRUE,9,17,82,30,65,"veng1238","Atlantic-Congo",6.11403,10.4137,50,100,0.0174789068939394,"Atlantic-Congo","Atlantic-Congo","African Savannah",25,8,1,0.843450909078256
"91",91,"Bafo","bwt","ph",926,TRUE,4,16,47,23,31,"bafa1247","Atlantic-Congo",4.53307,9.522,49,100,0.0180563223115773,"Atlantic-Congo","Atlantic-Congo","African Savannah",21,5,-1,0.970835092153222
"92",92,"bafut","bfd","aa",662,TRUE,10,18,49,25,31,"bafu1246","Atlantic-Congo",6.14153,10.1194,50,100,0.0174789068939394,"Atlantic-Congo","Atlantic-Congo","African Savannah",25,2,8,0.843450909078256
"95",95,"Bagirmi","bmi","gm",1469,TRUE,3,16,48,24,32,"bagi1246","Central Sudanic",11.52392,14.769495,53,103,0.0118932219469697,"Central Sudanic","Central Sudanic","African Savannah",23,3,0,-0.388812539643984
"100",100,"Bakoko","bkh","ph",1180,TRUE,0,7,33,15,26,"bako1249","Atlantic-Congo",3.56518,9.99905,49,100,0.0180563223115773,"Atlantic-Congo","Atlantic-Congo","African Savannah",21,3,-3,0.970835092153222
"101",101,"Balante","bjt","gm",1391,TRUE,3,14,50,24,36,"bala1302","Atlantic-Congo",12.5382,-15.6658,53,87,0.017080014040404,"Atlantic-Congo","Atlantic-Congo","African Savannah",23,6,-3,0.755450764416525
"104",104,"Balinese","ban","gm",1693,TRUE,0,6,24,14,18,"bali1278","Austronesian",-8.35714,115.075,43,155,0.0181924475058275,"Austronesian","Austronesian","Southeast Asia",23,0,0,1.00086580511274
"105",105,"Bamana","bam","gm",1496,TRUE,2,24,58,34,34,"bamb1269","Mande",12.0401,-9.98949,53,90,0.0131445618109946,"Mande","Mande","African Savannah",23,2,0,-0.112753221761495
"108",108,"bana","bcw","gm",1248,TRUE,4,3,44,11,41,"bana1305","Afro-Asiatic",10.3535,13.6131,52,102,0.0133330583438228,"Afro-Asiatic","Afro-Asiatic","African Savannah",23,2,2,-0.0711688162999812
"113",113,"Bangolan","bgj","ph",1183,TRUE,4,9,40,16,31,"bang1356","Atlantic-Congo",6.0125,10.667,50,101,0.0163006410402098,"Atlantic-Congo","Atlantic-Congo","African Savannah",21,0,4,0.583512520462875
"117",117,"Barasano","bao","spa",114,TRUE,2,12,25,15,13,"waim1255","Tucanoan",0.30416,-70.1644,47,58,0.0180299208216783,"Tucanoan","Tucanoan","NE South America",24,0,2,0.965010633505228
"118",118,"Barbareño","boi","ph",1239,TRUE,0,6,44,16,38,"barb1263","Chumashan",34.462,-119.699,65,32,0.00920463888694639,"Chumashan","Chumashan","California",21,0,0,-0.981943492279951
"119",119,"Bardi","bcj","uz",2160,TRUE,0,7,25,14,18,"bard1255","Nyulnyulan",-16.6274,122.906,38,160,0.0139879753331391,"Nyulnyulan","Nyulnyulan","N Australia",22,0,0,0.0733130647125726
"121",121,"Bariai","bch","ph",1185,TRUE,0,5,17,10,12,"bari1286","Austronesian",-5.5087,148.666,44,173,0.0175095402136752,"Austronesian","Austronesian","N Coast New Guinea",21,0,0,0.850208955867831
